Equipment Name	Firepower	Torpedo	Anti-Air	Damage	Coefficient	Attribute	Damage to L	Damage to M	Damage to H
533mm Quadruple Homing Torpedo Mount	0	12	0	99	1.00	Acoustic Homing	0.8	1	1.3
533mm Quadruple Homing Torpedo Mount	0	25	0	133	1.00	Acoustic Homing	0.8	1	1.3
533mm Quadruple Homing Torpedo Mount	0	45	0	145	1.00	Acoustic Homing	0.8	1	1.3
533mm Quadruple Torpedo Mount	0	5	0	70	1.00	Normal	0.8	1	1.3
533mm Quadruple Torpedo Mount	0	12	0	104	1.00	Normal	0.8	1	1.3
533mm Quadruple Torpedo Mount	0	25	0	156	1.00	Normal	0.8	1	1.3
533mm Quadruple Torpedo Mount Mk 17	0	25	0	160	1.00	Normal	0.8	1	1.3
533mm Quadruple Torpedo Mount Mk IX	0	25	0	172	1.00	Normal	0.8	1	1.3
533mm Quintuple Homing Torpedo Mount	0	25	0	123	1.00	Acoustic Homing	0.8	1	1.3
533mm Quintuple Homing Torpedo Mount	0	45	0	133	1.00	Acoustic Homing	0.8	1	1.3
533mm Quintuple Homing Torpedo Mount	0	70	0	145	1.00	Acoustic Homing	0.8	1	1.3
533mm Quintuple Torpedo Mount	0	12	0	94	1.00	Normal	0.8	1	1.3
533mm Quintuple Torpedo Mount	0	25	0	140	1.00	Normal	0.8	1	1.3
533mm Quintuple Torpedo Mount	0	45	0	156	1.00	Normal	0.8	1	1.3
533mm Quintuple Torpedo Mount Mk 17	0	45	0	160	1.00	Normal	0.8	1	1.3
533mm Quintuple Torpedo Mount Mk IX	0	45	0	172	1.00	Normal	0.8	1	1.3
533mm Triple Homing Torpedo Mount	0	5	0	81	1.00	Acoustic Homing	0.8	1	1.3
533mm Triple Homing Torpedo Mount	0	12	0	106	1.00	Acoustic Homing	0.8	1	1.3
533mm Triple Homing Torpedo Mount	0	25	0	145	1.00	Acoustic Homing	0.8	1	1.3
533mm Triple Torpedo Mount	0	0	0	70	1.00	Normal	0.8	1	1.3
533mm Triple Torpedo Mount	0	5	0	77	1.00	Normal	0.8	1	1.3
533mm Triple Torpedo Mount	0	12	0	116	1.00	Normal	0.8	1	1.3
533mm Triple Torpedo Mount Mk 17	0	12	0	120	1.00	Normal	0.8	1	1.3
533mm Triple Torpedo Mount Mk IX	0	12	0	128	1.00	Normal	0.8	1	1.3
550mm Triple Torpedo Launcher	0	5	0	72	1.00	Normal	0.8	1	1.3
550mm Triple Torpedo Launcher	0	25	0	162	1.00	Normal	0.8	1	1.3
550mm Twin Torpedo Launcher	0	0	0	65	1.00	Normal	0.8	1	1.3
550mm Twin Torpedo Launcher	0	12	0	108	1.00	Normal	0.8	1	1.3
610mm Quadruple Torpedo Mount	0	12	0	112	1.00	Normal	0.8	1	1.3
610mm Quadruple Torpedo Mount	0	25	0	178	1.00	Normal	0.8	1	1.3
610mm Quadruple Torpedo Mount	0	45	0	206	1.00	Normal	0.8	1	1.3
610mm Quadruple Torpedo Mount Kai	0	5	0	210	1.00	Normal	0.8	1	1.3
610mm Triple Torpedo Mount	0	12	0	82	1.00	Normal	0.8	1	1.3
610mm Triple Torpedo Mount	0	25	0	130	1.00	Normal	0.8	1	1.3
610mm Triple Torpedo Mount	0	25	0	206	1.00	Normal	0.8	1	1.3
610mm Triple Torpedo Mount Kai	0	25	0	210	1.00	Normal	0.8	1	1.3
610mm Twin Torpedo Mount	0	0	0	82	1.00	Normal	0.8	1	1.3
610mm Twin Torpedo Mount	0	5	0	94	1.00	Normal	0.8	1	1.3
610mm Twin Torpedo Mount	0	12	0	150	1.00	Normal	0.8	1	1.3
